央视频道,#genre#
CETV4,http://125.34.185.54:10000/rtp/239.3.1.56:4120
少儿动画,http://125.34.185.54:10000/rtp/239.3.1.199:9000
热播剧场,http://125.34.185.54:10000/rtp/239.3.1.194:9020
解密,http://125.34.185.54:10000/rtp/239.3.1.75:4120
军事,http://125.34.185.54:10000/rtp/239.3.1.76:4120
军旅剧场,http://125.34.185.54:10000/rtp/239.3.1.68:4120
动画,http://125.34.185.54:10000/rtp/239.3.1.80:4120
古装剧场,http://125.34.185.54:10000/rtp/239.3.1.69:4120
台球,http://125.34.185.54:10000/rtp/239.3.1.85:4120
嘉佳卡通,http://125.34.185.54:10000/rtp/239.3.1.147:9268
国学,http://125.34.185.54:10000/rtp/239.3.1.77:4120
城市剧场,http://125.34.185.54:10000/rtp/239.3.1.67:4120
墨宝,http://125.34.185.54:10000/rtp/239.3.1.83:4120
好学生,http://125.34.185.54:10000/rtp/239.3.1.81:4120
山东教育,http://125.34.185.54:10000/rtp/239.3.1.52:4120
戏曲,http://125.34.185.54:10000/rtp/239.3.1.78:4120
收视指南,http://125.34.185.54:10000/rtp/239.3.1.193:8012
早教,http://125.34.185.54:10000/rtp/239.3.1.79:4120
武侠剧场,http://125.34.185.54:10000/rtp/239.3.1.90:4120
武术,http://125.34.185.54:10000/rtp/239.3.1.87:4120
爱生活,http://125.34.185.54:10000/rtp/239.3.1.86:4120
美人,http://125.34.185.54:10000/rtp/239.3.1.73:4120
美妆,http://125.34.185.54:10000/rtp/239.3.1.72:4120
财富天下,http://125.34.185.54:10000/rtp/239.3.1.53:9136
足球,http://125.34.185.54:10000/rtp/239.3.1.89:4120
金鹰卡通,http://125.34.185.54:10000/rtp/239.3.1.51:9252
鉴赏,http://125.34.185.54:10000/rtp/239.3.1.82:4120
音乐现场,http://125.34.185.54:10000/rtp/239.3.1.70:4120
高网,http://125.34.185.54:10000/rtp/239.3.1.88:4120
魅力时尚,http://125.34.185.54:10000/rtp/239.3.1.196:9012
香港,#genre#
无线新闻台,http://cdn8.jdshipin.com:8880/smt.php?id=inews_twn
无线新闻台,http://888.iptv543.com/Smartv.php?id=inews_twn
无线娱乐新闻台,https://edge6a.v2h-cdn.com/enew/enew.stream/chunklist.m3u8
TVB娱乐新闻台,http://v2h.jdshipin.com/enew/enew.stream/chunklist.m3u8
TVB无线新闻台,http://zsntlqj.xicp.net:8896/bysid/83
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰资讯,http://117.28.177.45:8605/rtp/239.61.2.183:9086
凤凰资讯,http://ytb.csscc.cc:2086/live.m3u8?c=1
凤凰资讯,http://dms.yryyj.site:8188/udp/239.76.246.134:1234
凤凰资讯,http://dms.yryyj.site:8188/udp/239.76.253.134:9000
凤凰卫视,http://kuanglong.vicp.hk:2121/udp/239.93.16.31:8012
凤凰资讯,http://kuanglong.vicp.hk:2121/udp/239.93.16.118:8708
凤凰资讯,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰资讯,http://113.64.145.195:8081/hls/36/index.m3u8
凤凰资讯,http://171.223.215.229:4000/udp/239.93.1.4:2191
凤凰资讯,http://117.28.130.162:8888/rtp/239.61.2.183:9086
凤凰资讯,http://120.41.124.228:8888/rtp/239.61.2.183:9086
凤凰资讯,http://www.yao87.com:4022/udp/239.76.246.135:1234
凤凰资讯,http://vl15191373.imwork.net:8880/udp/239.93.1.4:2191
凤凰资讯,http://112.19.171.156:9999/udp/239.93.0.118:2191
J2,http://cdn8.jdshipin.com:8880/smt.php?id=j2_twn
无线新闻台,http://cdn8.jdshipin.com:8880/smt.php?id=inews_twn
VIUTV,http://cdn8.jdshipin.com:8880/smt.php?id=viu1_twn
TVB星河,http://cdn8.jdshipin.com:8880/smt.php?id=Xinhe
HOY77,http://111.230.195.119:80/香蕉哥/hoy77/hls.m3u8
HOY78,http://111.230.195.119:80/香蕉哥/hoy78/hls.m3u8
TVB翡翠,http://111.230.195.119:80/香蕉哥/tvb/hls.m3u8
HOY 國際財經台,http://123.202.245.120:8009/bysid/76
HOY TV,http://123.202.245.120:8009/bysid/77
HOY 資訊台,http://123.202.245.120:8009/bysid/78
J2,http://888.iptv543.com/Smartv.php?id=j2_twn
无线新闻台,http://888.iptv543.com/Smartv.php?id=inews_twn
VIUTV,http://888.iptv543.com/Smartv.php?id=viu1_twn
TVB星河,http://888.iptv543.com/Smartv.php?id=Xinhe
TVB星河,http://888.iptv543.com/Smartv.php?id=tvbxinhe_twn
TVB星河台,https://edge6a.v2h-cdn.com/xinghe/xinghe.stream/chunklist.m3u8
无线娱乐新闻台,https://edge6a.v2h-cdn.com/enew/enew.stream/chunklist.m3u8
无线新闻,http://137.175.30.127:9080/hls/inews.m3u8
TVB星河台,http://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
TVB星河台,http://113.64.145.195:8081/hls/135/index.m3u8
TVB J2台,http://nz189l149.bb27109.ctm.net:8892/bysid/82
TVB翡翠台,http://158.180.67.130/live/hls/J/j.m3u8
TVB翡翠台 4K,http://158.180.67.130/live/hls/JUHD/juhd.m3u8
TVB翡翠台 4K,http://free.9528.eu.org:9529/stream/hk/test/master.m3u8?u=admin&p=70db29aeaebf312fd2b93d3d69d99a16ad3319d0b354567f2be5c5e91c6be18b
TVB无线新闻台,http://zsntlqj.xicp.net:8896/bysid/83
香港卫视,http://cctvtxyh5c.liveplay.myqcloud.com/cstv/xianggangweishi_2/index.m3u8
香港34台全网,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream02/streamPlaylist.m3u8
港台RTHK33HD,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8
港台RTHK34HD,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream02/streamPlaylist.m3u8
靖天映画,http://live.9528.eu.org/4gtv.php?channel=42
凤凰资讯,http://61.221.215.25:8800/hls/47/index.m3u8
凤凰资讯HD,http://william8073.eu.org:9000/live.m3u8?c=19
天映频道,http://888.iptv543.com/Smartv.php?id=Celestial
NBC News Now,https://i.mjh.nz/SamsungTVPlus/CAAJ2700011IF.m3u8
The Guardian,https://i.mjh.nz/SamsungTVPlus/GBAJ2400003DD.m3u8
MHz Now,https://i.mjh.nz/SamsungTVPlus/USAJ22000130U.m3u8
fubo Sports Network,https://i.mjh.nz/SamsungTVPlus/USAJ2200023Z0.m3u8
Hungry,https://i.mjh.nz/SamsungTVPlus/USAJ2200009C2.m3u8
Estrella News,https://i.mjh.nz/SamsungTVPlus/USAJ2200020N4.m3u8
Sony Canal Comedias,https://i.mjh.nz/SamsungTVPlus/USAJ22000057N.m3u8
成华有线,https://tv.cry33.com/cdtvflv.php?id=chyx
凤凰卫视,http://210.210.155.37/uq2663/h/h157/index2.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
台湾,#genre#
民视第一台,http://live.9528.eu.org/4gtv.php?channel=1
民视台湾台,http://live.9528.eu.org/4gtv.php?channel=2
民视,http://live.9528.eu.org/4gtv.php?channel=3
中视,http://live.9528.eu.org/4gtv.php?channel=4
华视,http://live.9528.eu.org/4gtv.php?channel=6
公视戏剧,http://live.9528.eu.org/4gtv.php?channel=7
民视综艺台,http://live.9528.eu.org/4gtv.php?channel=16
民视影剧台,http://live.9528.eu.org/4gtv.php?channel=24
中天新闻台,http://live.9528.eu.org/4gtv.php?channel=30
民视新闻台,http://live.9528.eu.org/4gtv.php?channel=31
中视新闻,http://live.9528.eu.org/4gtv.php?channel=33
华视新闻,http://live.9528.eu.org/4gtv.php?channel=34
寰宇新闻台,http://live.9528.eu.org/4gtv.php?channel=36
民视旅游台,http://live.9528.eu.org/4gtv.php?channel=61
半岛国际新闻台,http://live.9528.eu.org/4gtv.php?channel=85
中视菁采台,http://live.9528.eu.org/4gtv.php?channel=123
中视经典台,http://live.9528.eu.org/4gtv.php?channel=124
三立综合台,http://live.9528.eu.org/4gtv.php?channel=169
东森购物一台,http://live.9528.eu.org/4gtv.php?channel=173
东森购物二台,http://live.9528.eu.org/4gtv.php?channel=174
大爱电视,http://live.9528.eu.org/4gtv.php?channel=209
人间卫视,http://live.9528.eu.org/4gtv.php?channel=210
三立新闻iNEWS,http://live.9528.eu.org/4gtv.php?channel=229
大爱二台,http://live.9528.eu.org/4gtv.php?channel=230
民视,http://live.9528.eu.org/4gtv.php?channel=246
民视第一台,http://live.9528.eu.org/4gtv.php?channel=254
民视台湾台,http://live.9528.eu.org/4gtv.php?channel=255
华视新闻,http://live.9528.eu.org/4gtv.php?channel=256
民视新闻台,http://live.9528.eu.org/4gtv.php?channel=257
中视新闻,http://live.9528.eu.org/4gtv.php?channel=258
中天新闻台,http://live.9528.eu.org/4gtv.php?channel=260
镜电视新闻台,http://live.9528.eu.org/4gtv.php?channel=268
寰宇新闻台湾台,http://live.9528.eu.org/4gtv.php?channel=280
东森购物四台,http://live.9528.eu.org/4gtv.php?channel=286
东森购物三台,http://live.9528.eu.org/4gtv.php?channel=287
东森新闻台,http://live.9528.eu.org/4gtv.php?channel=292
东森财经新闻台,http://live.9528.eu.org/4gtv.php?channel=293
民视,rtmp://f13h.mine.nu/sat/tv051
台视,rtmp://f13h.mine.nu/sat/tv071
中视,rtmp://f13h.mine.nu/sat/tv091
华视,rtmp://f13h.mine.nu/sat/tv111
东森超视,rtmp://f13h.mine.nu/sat/tv331
三立戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
三立戲劇台,http://61.221.215.25:8800/hls/41/index.m3u8
三立新聞,http://ytb.csscc.cc:2086/live.m3u8?c=3
三立戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
中视新闻,http://william8073.eu.org:9000/live.m3u8?c=7
东森财经新闻HD,http://william8073.eu.org:9000/live.m3u8?c=9
寰宇新闻台,http://william8073.eu.org:9000/live.m3u8?c=10
台视新闻HD,http://william8073.eu.org:9000/live.m3u8?c=11
民视新闻台HD,http://william8073.eu.org:9000/live.m3u8?c=12
三立iNEWS,http://william8073.eu.org:9000/live.m3u8?c=15
大爱一台,http://william8073.eu.org:9000/live.m3u8?c=16
大爱二台,http://william8073.eu.org:9000/live.m3u8?c=17
华视新闻资讯,http://william8073.eu.org:9000/live.m3u8?c=18
三立NEWS+,http://william8073.eu.org:9000/live.m3u8?c=22
寰宇新闻台湾台,http://william8073.eu.org:9000/live.m3u8?c=26
中视经典综艺,http://william8073.eu.org:9000/live.m3u8?c=28
中视台湾志,http://william8073.eu.org:9000/live.m3u8?c=29
